#tick=1440948,surfaces=10,speed=1
kind,name,precision,sample,input,output
item,iron-plate,ten_hours,1,33155,31547
item,iron-plate,ten_hours,2,32849,31602
item,iron-plate,ten_hours,3,32372,31048
item,iron-plate,ten_hours,4,32155,30261
item,iron-plate,ten_hours,5,32741,30207
item,iron-plate,ten_hours,6,33136,30642
item,iron-plate,ten_hours,7,31374,31288
item,iron-plate,ten_hours,8,32143,31313
item,iron-plate,ten_hours,9,33100,32283
item,iron-plate,ten_hours,10,32911,32626
item,iron-plate,ten_hours,11,32743,32691
item,iron-plate,ten_hours,12,32669,32750
item,iron-plate,ten_hours,13,32561,32658
item,iron-plate,ten_hours,14,32420,32318
item,iron-plate,ten_hours,15,32440,32319
item,iron-plate,ten_hours,16,32395,32456
item,iron-plate,ten_hours,17,32328,32217
item,iron-plate,ten_hours,18,32298,31897
item,iron-plate,ten_hours,19,32411,31890
item,iron-plate,ten_hours,20,32458,31962
item,iron-plate,ten_hours,21,32542,31907
item,iron-plate,ten_hours,22,32914,31928
item,iron-plate,ten_hours,23,33284,32043
item,iron-plate,ten_hours,24,33489,32453
item,iron-plate,ten_hours,25,33571,32415
item,iron-plate,ten_hours,26,33570,32430
item,iron-plate,ten_hours,27,33591,32400
item,iron-plate,ten_hours,28,33598,32439
item,iron-plate,ten_hours,29,33592,32395
item,iron-plate,ten_hours,30,33570,32440
item,iron-plate,ten_hours,31,33627,32305
item,iron-plate,ten_hours,32,33447,32503
item,iron-plate,ten_hours,33,33337,32497
item,iron-plate,ten_hours,34,33342,32784
item,iron-plate,ten_hours,35,33464,32842
item,iron-plate,ten_hours,36,33629,33113
item,iron-plate,ten_hours,37,33754,33150
item,iron-plate,ten_hours,38,33764,33332
item,iron-plate,ten_hours,39,33786,33205
item,iron-plate,ten_hours,40,33762,32437
item,iron-plate,ten_hours,41,33908,32348
item,iron-plate,ten_hours,42,34079,32424
item,iron-plate,ten_hours,43,34323,32344
item,iron-plate,ten_hours,44,34388,32379
item,iron-plate,ten_hours,45,34449,32447
item,iron-plate,ten_hours,46,34504,32486
item,iron-plate,ten_hours,47,34524,32581
item,iron-plate,ten_hours,48,34526,32694
item,iron-plate,ten_hours,49,34524,32967
item,iron-plate,ten_hours,50,34516,32818
item,iron-plate,ten_hours,51,34523,32621
item,iron-plate,ten_hours,52,34509,32422
item,iron-plate,ten_hours,53,34708,32465
item,iron-plate,ten_hours,54,34909,32577
item,iron-plate,ten_hours,55,35021,32790
item,iron-plate,ten_hours,56,35234,33089
item,iron-plate,ten_hours,57,35274,33057
item,iron-plate,ten_hours,58,35290,33549
item,iron-plate,ten_hours,59,35280,33576
item,iron-plate,ten_hours,60,35290,33411
item,iron-plate,ten_hours,61,35297,33461
item,iron-plate,ten_hours,62,35300,33673
item,iron-plate,ten_hours,63,35266,33618
item,iron-plate,ten_hours,64,35203,33668
item,iron-plate,ten_hours,65,35144,33773
item,iron-plate,ten_hours,66,35052,34126
item,iron-plate,ten_hours,67,34772,34276
item,iron-plate,ten_hours,68,34544,34296
item,iron-plate,ten_hours,69,34046,33260
item,iron-plate,ten_hours,70,33769,33178
item,iron-plate,ten_hours,71,34107,32898
item,iron-plate,ten_hours,72,34714,32895
item,iron-plate,ten_hours,73,34966,33234
item,iron-plate,ten_hours,74,34979,33333
item,iron-plate,ten_hours,75,35062,33591
item,iron-plate,ten_hours,76,35112,33919
item,iron-plate,ten_hours,77,35116,33850
item,iron-plate,ten_hours,78,35204,33720
item,iron-plate,ten_hours,79,35246,33659
item,iron-plate,ten_hours,80,35328,33682
item,iron-plate,ten_hours,81,35301,33865
item,iron-plate,ten_hours,82,35222,33402
item,iron-plate,ten_hours,83,35282,33637
item,iron-plate,ten_hours,84,35324,33899
item,iron-plate,ten_hours,85,35336,33873
item,iron-plate,ten_hours,86,35481,33985
item,iron-plate,ten_hours,87,35516,33971
item,iron-plate,ten_hours,88,35659,34332
item,iron-plate,ten_hours,89,35884,34463
item,iron-plate,ten_hours,90,36026,34645
item,iron-plate,ten_hours,91,36063,34875
item,iron-plate,ten_hours,92,36094,34955
item,iron-plate,ten_hours,93,36060,35315
item,iron-plate,ten_hours,94,35844,34892
item,iron-plate,ten_hours,95,35779,34665
item,iron-plate,ten_hours,96,35781,34820
item,iron-plate,ten_hours,97,35795,34634
item,iron-plate,ten_hours,98,35776,34864
item,iron-plate,ten_hours,99,35788,34606
item,iron-plate,ten_hours,100,35772,34695
item,iron-plate,ten_hours,101,35757,34814
item,iron-plate,ten_hours,102,35647,34564
item,iron-plate,ten_hours,103,35676,34651
item,iron-plate,ten_hours,104,35680,34747
item,iron-plate,ten_hours,105,35708,34937
item,iron-plate,ten_hours,106,35745,34880
item,iron-plate,ten_hours,107,35793,34942
item,iron-plate,ten_hours,108,35732,34962
item,iron-plate,ten_hours,109,35692,35028
item,iron-plate,ten_hours,110,35713,35577
item,iron-plate,ten_hours,111,35722,35807
item,iron-plate,ten_hours,112,35304,36735
item,iron-plate,ten_hours,113,35276,34959
item,iron-plate,ten_hours,114,35673,33802
item,iron-plate,ten_hours,115,35752,34798
item,iron-plate,ten_hours,116,35769,34940
item,iron-plate,ten_hours,117,35689,34932
item,iron-plate,ten_hours,118,35820,34500
item,iron-plate,ten_hours,119,35854,34661
item,iron-plate,ten_hours,120,36023,34949
item,iron-plate,ten_hours,121,36018,34892
item,iron-plate,ten_hours,122,35897,34763
item,iron-plate,ten_hours,123,34544,33495
item,iron-plate,ten_hours,124,33997,32919
item,iron-plate,ten_hours,125,32760,32598
item,iron-plate,ten_hours,126,32560,32643
item,iron-plate,ten_hours,127,32336,31761
item,iron-plate,ten_hours,128,32331,32460
item,iron-plate,ten_hours,129,32331,32135
item,iron-plate,ten_hours,130,32325,31078
item,iron-plate,ten_hours,131,32316,31546
item,iron-plate,ten_hours,132,32340,31966
item,iron-plate,ten_hours,133,32319,31383
item,iron-plate,ten_hours,134,32295,31642
item,iron-plate,ten_hours,135,32302,31667
item,iron-plate,ten_hours,136,32340,31672
item,iron-plate,ten_hours,137,32523,32207
item,iron-plate,ten_hours,138,32474,32798
item,iron-plate,ten_hours,139,32434,33610
item,iron-plate,ten_hours,140,32171,33806
item,iron-plate,ten_hours,141,31263,31029
item,iron-plate,ten_hours,142,30575,29443
item,iron-plate,ten_hours,143,28564,28195
item,iron-plate,ten_hours,144,26361,26593
