#tick=1449059,netprod=8792136986877.3,nets=3379
kind,name,sample,input,output
pw,inserter,1,153408.8,0
pw,inserter,2,149806.06222222,0
pw,inserter,3,148821.94666667,0
pw,inserter,4,146625.34222222,0
pw,inserter,5,143864.96,0
pw,inserter,6,144777.52888889,0
pw,inserter,7,144882.47111111,0
pw,inserter,8,145242.35555556,0
pw,inserter,9,145502.11555556,0
pw,inserter,10,147159.56444444,0
pw,inserter,11,145496.8,0
pw,inserter,12,146698.70222222,0
pw,inserter,13,148565.51111111,0
pw,inserter,14,148229.6,0
pw,inserter,15,147577.36,0
pw,inserter,16,147658.96888889,0
pw,inserter,17,147906.32,0
pw,inserter,18,148858.03555556,0
pw,inserter,19,148274.50666667,0
pw,inserter,20,148053.60888889,0
pw,inserter,21,148782.96888889,0
pw,inserter,22,149608.30222222,0
pw,inserter,23,150151.18222222,0
pw,inserter,24,150842.84444444,0
pw,inserter,25,151406.02666667,0
pw,inserter,26,152251.11111111,0
pw,inserter,27,152372.64,0
pw,inserter,28,152103.57333333,0
pw,inserter,29,152215.71555556,0
pw,inserter,30,152221.38666667,0
pw,inserter,31,152373.63555556,0
pw,inserter,32,153709.22666667,0
pw,inserter,33,153746.54222222,0
pw,inserter,34,152974.59555556,0
pw,inserter,35,151584.67555556,0
pw,inserter,36,152245.08444444,0
pw,inserter,37,152404.60444444,0
pw,inserter,38,152829.61777778,0
pw,inserter,39,152957.03111111,0
pw,inserter,40,152981.33333333,0
pw,inserter,41,153120.30222222,0
pw,inserter,42,153298.02666667,0
pw,inserter,43,152508.87111111,0
pw,inserter,44,151153.45777778,0
pw,inserter,45,151573.44,0
pw,inserter,46,152380.88888889,0
pw,inserter,47,153017.70666667,0
pw,inserter,48,152928.87111111,0
pw,inserter,49,154236.53333333,0
pw,inserter,50,152969.81333333,0
pw,inserter,51,151776.83555556,0
pw,inserter,52,151167.96444444,0
pw,inserter,53,150944.08888889,0
pw,inserter,54,151334.50666667,0
pw,inserter,55,151841.28,0
