#tick=716507,surfaces=15,speed=1
kind,name,precision,sample,input,output
item,iron-plate,ten_hours,1,100307,96820
item,iron-plate,ten_hours,2,100438,97599
item,iron-plate,ten_hours,3,101210,100047
item,iron-plate,ten_hours,4,102713,100766
item,iron-plate,ten_hours,5,104435,101970
item,iron-plate,ten_hours,6,105652,102629
item,iron-plate,ten_hours,7,106150,103305
item,iron-plate,ten_hours,8,106076,103525
item,iron-plate,ten_hours,9,106185,104192
item,iron-plate,ten_hours,10,106808,104841
item,iron-plate,ten_hours,11,106324,104606
item,iron-plate,ten_hours,12,106074,104320
item,iron-plate,ten_hours,13,106219,104885
item,iron-plate,ten_hours,14,107424,104856
item,iron-plate,ten_hours,15,108168,105453
item,iron-plate,ten_hours,16,108216,105700
item,iron-plate,ten_hours,17,108847,105938
item,iron-plate,ten_hours,18,109157,106640
item,iron-plate,ten_hours,19,109619,106811
item,iron-plate,ten_hours,20,110201,106273
item,iron-plate,ten_hours,21,111267,106472
item,iron-plate,ten_hours,22,111693,107534
item,iron-plate,ten_hours,23,111700,108432
item,iron-plate,ten_hours,24,112309,109162
item,iron-plate,ten_hours,25,113289,109596
item,iron-plate,ten_hours,26,114695,110752
item,iron-plate,ten_hours,27,117961,111726
item,iron-plate,ten_hours,28,119347,114366
item,iron-plate,ten_hours,29,121541,116073
item,iron-plate,ten_hours,30,123329,117711
item,iron-plate,ten_hours,31,123919,120326
item,iron-plate,ten_hours,32,123586,120151
item,iron-plate,ten_hours,33,124500,120606
item,iron-plate,ten_hours,34,125279,121506
item,iron-plate,ten_hours,35,124294,121159
item,iron-plate,ten_hours,36,124000,120505
item,iron-plate,ten_hours,37,124489,120161
item,iron-plate,ten_hours,38,125686,120631
item,iron-plate,ten_hours,39,126341,120344
item,iron-plate,ten_hours,40,127740,122646
item,iron-plate,ten_hours,41,131946,122041
item,iron-plate,ten_hours,42,127526,119808
item,iron-plate,ten_hours,43,125605,123008
item,iron-plate,ten_hours,44,123786,120036
item,iron-plate,ten_hours,45,122832,117189
item,iron-plate,ten_hours,46,116134,115599
item,iron-plate,ten_hours,47,108837,108415
item,iron-plate,ten_hours,48,103074,102547
item,iron-plate,ten_hours,49,98781,98881
item,iron-plate,ten_hours,50,90996,89283
item,iron-plate,ten_hours,51,80272,77396
item,iron-plate,ten_hours,52,79525,74098
item,iron-plate,ten_hours,53,71386,68159
item,iron-plate,ten_hours,54,63507,63072
item,iron-plate,ten_hours,55,63074,61208
item,iron-plate,ten_hours,56,56815,51198
item,iron-plate,ten_hours,57,45571,45908
item,iron-plate,ten_hours,58,45295,45946
item,iron-plate,ten_hours,59,44985,46395
item,iron-plate,ten_hours,60,44976,43297
item,iron-plate,ten_hours,61,44884,39099
item,iron-plate,ten_hours,62,40745,37917
item,iron-plate,ten_hours,63,33789,33130
item,iron-plate,ten_hours,64,27851,26343
item,iron-plate,ten_hours,65,22178,21381
item,iron-plate,ten_hours,66,18997,19281
item,iron-plate,ten_hours,67,18902,18676
item,iron-plate,ten_hours,68,14847,15157
item,iron-plate,ten_hours,69,14046,14015
item,iron-plate,ten_hours,70,13994,12361
item,iron-plate,ten_hours,71,10793,11402
item,iron-plate,ten_hours,72,10847,10707
item,iron-plate,ten_hours,73,10653,10929
item,iron-plate,ten_hours,74,10636,11139
item,iron-plate,ten_hours,75,10599,10176
item,iron-plate,ten_hours,76,10646,10732
item,iron-plate,ten_hours,77,10487,11013
item,iron-plate,ten_hours,78,9495,7689
item,iron-plate,ten_hours,79,7881,6898
item,iron-plate,ten_hours,80,7472,6783
item,iron-plate,ten_hours,81,7209,7438
item,iron-plate,ten_hours,82,6649,6656
item,iron-plate,ten_hours,83,5689,5625
item,iron-plate,ten_hours,84,5985,5504
item,iron-plate,ten_hours,85,4911,4346
item,iron-plate,ten_hours,86,4200,3984
item,iron-plate,ten_hours,87,4210,3700
item,iron-plate,ten_hours,88,3445,2462
item,iron-plate,ten_hours,89,2420,2691
item,iron-plate,ten_hours,90,2425,2143
item,iron-plate,ten_hours,91,2395,3360
item,iron-plate,ten_hours,92,1837,957
item,iron-plate,ten_hours,93,1163,1053
item,iron-plate,ten_hours,94,772,1113
item,iron-plate,ten_hours,95,449,417
item,iron-plate,ten_hours,96,699,171
item,iron-plate,ten_hours,97,695,277
item,iron-plate,ten_hours,98,445,267
item,iron-plate,ten_hours,99,62,36
item,iron-plate,fifty_hours,1,528498,515621
item,iron-plate,fifty_hours,2,532849,523508
item,iron-plate,fifty_hours,3,544007,530542
item,iron-plate,fifty_hours,4,557170,537873
item,iron-plate,fifty_hours,5,586833,562513
item,iron-plate,fifty_hours,6,620613,600300
item,iron-plate,fifty_hours,7,624810,602800
item,iron-plate,fifty_hours,8,636603,607539
item,iron-plate,fifty_hours,9,549658,542631
item,iron-plate,fifty_hours,10,385686,372008
item,iron-plate,fifty_hours,11,255740,250655
item,iron-plate,fifty_hours,12,192245,179786
item,iron-plate,fifty_hours,13,88970,88510
item,iron-plate,fifty_hours,14,56923,56538
item,iron-plate,fifty_hours,15,49108,46508
item,iron-plate,fifty_hours,16,33004,32006
item,iron-plate,fifty_hours,17,19186,17183
item,iron-plate,fifty_hours,18,8592,8626
item,iron-plate,fifty_hours,19,2350,1168
item,copper-plate,ten_hours,1,86926,86121
item,copper-plate,ten_hours,2,87013,86681
item,copper-plate,ten_hours,3,87006,86913
item,copper-plate,ten_hours,4,87281,86740
item,copper-plate,ten_hours,5,87334,87037
item,copper-plate,ten_hours,6,87161,87225
item,copper-plate,ten_hours,7,87498,87316
item,copper-plate,ten_hours,8,87533,87345
item,copper-plate,ten_hours,9,87703,87747
item,copper-plate,ten_hours,10,88219,87730
item,copper-plate,ten_hours,11,88507,87904
item,copper-plate,ten_hours,12,89086,88336
item,copper-plate,ten_hours,13,90545,89377
item,copper-plate,ten_hours,14,92966,90514
item,copper-plate,ten_hours,15,94362,92535
item,copper-plate,ten_hours,16,94417,93669
item,copper-plate,ten_hours,17,94410,94006
item,copper-plate,ten_hours,18,95245,94725
item,copper-plate,ten_hours,19,96035,95281
item,copper-plate,ten_hours,20,96237,95544
item,copper-plate,ten_hours,21,96971,95667
item,copper-plate,ten_hours,22,96787,95886
item,copper-plate,ten_hours,23,96425,96424
item,copper-plate,ten_hours,24,96919,96874
item,copper-plate,ten_hours,25,97467,96911
item,copper-plate,ten_hours,26,97495,97379
item,copper-plate,ten_hours,27,97568,96005
item,copper-plate,ten_hours,28,98049,96830
item,copper-plate,ten_hours,29,98841,97824
item,copper-plate,ten_hours,30,99275,98057
item,copper-plate,ten_hours,31,99322,98902
item,copper-plate,ten_hours,32,98621,96741
item,copper-plate,ten_hours,33,99304,96998
item,copper-plate,ten_hours,34,99967,96946
item,copper-plate,ten_hours,35,100415,97422
item,copper-plate,ten_hours,36,100923,97896
item,copper-plate,ten_hours,37,100318,97735
item,copper-plate,ten_hours,38,99815,97629
item,copper-plate,ten_hours,39,99621,97329
item,copper-plate,ten_hours,40,99136,98237
item,copper-plate,ten_hours,41,98923,96689
item,copper-plate,ten_hours,42,94026,83988
item,copper-plate,ten_hours,43,84815,77383
item,copper-plate,ten_hours,44,76385,67568
item,copper-plate,ten_hours,45,67376,64340
item,copper-plate,ten_hours,46,65576,61464
item,copper-plate,ten_hours,47,55393,51100
item,copper-plate,ten_hours,48,49538,47117
item,copper-plate,ten_hours,49,46277,45992
item,copper-plate,ten_hours,50,45987,43851
item,copper-plate,ten_hours,51,44709,36553
item,copper-plate,ten_hours,52,33206,26004
item,copper-plate,ten_hours,53,24193,20119
item,copper-plate,ten_hours,54,14745,14456
item,copper-plate,ten_hours,55,14277,14087
item,copper-plate,ten_hours,56,14190,12469
item,copper-plate,ten_hours,57,14577,11841
item,copper-plate,ten_hours,58,14706,11676
item,copper-plate,ten_hours,59,14700,12469
item,copper-plate,ten_hours,60,12911,10588
item,copper-plate,ten_hours,61,7803,7834
item,copper-plate,ten_hours,62,7472,7715
item,copper-plate,ten_hours,63,7351,7599
item,copper-plate,ten_hours,64,7380,6787
item,copper-plate,ten_hours,65,7440,5971
item,copper-plate,ten_hours,66,4731,5665
item,copper-plate,ten_hours,67,4190,5072
item,copper-plate,ten_hours,68,4323,5404
item,copper-plate,ten_hours,69,3902,4364
item,copper-plate,ten_hours,70,3834,3921
item,copper-plate,ten_hours,71,3903,3969
item,copper-plate,ten_hours,72,3909,3811
item,copper-plate,ten_hours,73,3904,3919
item,copper-plate,ten_hours,74,3908,3332
item,copper-plate,ten_hours,75,3894,2787
item,copper-plate,ten_hours,76,2284,2893
item,copper-plate,ten_hours,77,2107,2262
item,copper-plate,ten_hours,78,2110,982
item,copper-plate,ten_hours,79,1907,1155
item,copper-plate,ten_hours,80,1261,1210
item,copper-plate,ten_hours,81,1928,1167
item,copper-plate,ten_hours,82,2110,1065
item,copper-plate,ten_hours,83,2217,1433
item,copper-plate,ten_hours,84,2441,1237
item,copper-plate,ten_hours,85,2388,981
item,copper-plate,ten_hours,86,1016,835
item,copper-plate,ten_hours,87,670,645
item,copper-plate,ten_hours,88,665,610
item,copper-plate,ten_hours,89,670,344
item,copper-plate,ten_hours,90,665,454
item,copper-plate,ten_hours,91,620,360
item,copper-plate,ten_hours,92,330,434
item,copper-plate,ten_hours,93,330,390
item,copper-plate,ten_hours,94,341,346
item,copper-plate,ten_hours,95,290,146
item,copper-plate,ten_hours,96,330,29
item,copper-plate,ten_hours,97,86,0
item,copper-plate,fifty_hours,1,437229,436670
item,copper-plate,fifty_hours,2,449323,443861
item,copper-plate,fifty_hours,3,474469,470216
item,copper-plate,fifty_hours,4,483339,480395
item,copper-plate,fifty_hours,5,489420,484949
item,copper-plate,fifty_hours,6,496489,487644
item,copper-plate,fifty_hours,7,501092,488011
item,copper-plate,fifty_hours,8,453285,423865
item,copper-plate,fifty_hours,9,284160,270013
item,copper-plate,fifty_hours,10,162840,140983
item,copper-plate,fifty_hours,11,72450,62542
item,copper-plate,fifty_hours,12,42917,40523
item,copper-plate,fifty_hours,13,24586,26476
item,copper-plate,fifty_hours,14,19458,18952
item,copper-plate,fifty_hours,15,12302,10079
item,copper-plate,fifty_hours,16,9957,6112
item,copper-plate,fifty_hours,17,5409,3415
item,copper-plate,fifty_hours,18,2286,1984
item,copper-plate,fifty_hours,19,706,175
item,steel-plate,ten_hours,1,9412,5884
item,steel-plate,ten_hours,2,9404,5858
item,steel-plate,ten_hours,3,9722,5972
item,steel-plate,ten_hours,4,9873,5948
item,steel-plate,ten_hours,5,9984,6010
item,steel-plate,ten_hours,6,10071,6067
item,steel-plate,ten_hours,7,10103,6118
item,steel-plate,ten_hours,8,10121,6234
item,steel-plate,ten_hours,9,10158,6410
item,steel-plate,ten_hours,10,10220,6607
item,steel-plate,ten_hours,11,10213,6212
